年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,GPS座標X,GPS座標
2016,8,3,10,6,臺南市,東區,,,中華東路,一,,,366,,,,,夢時代前,,,,,,120.23374,22.98988
2016,8,3,9,0,臺南市,東區,,,崇善路,,,,,,崇善十六街,,,,,,,,,120.2346,22.96324
2016,8,3,21,25,臺南市,仁德區,三甲里,,,,,,,,,,,三甲子50-10號前,,,,,,120.24033,22.92519
2016,8,3,17,45,臺南市,永康區,三民里,,永安路,,,,,,仁愛街,,,,,,,,,120.24125,23.04894
2016,8,3,8,22,臺南市,安定區,中榮里,,,,,,,,,,,許中榮77-13號前,,,,,,120.243,23.09755
2016,8,3,9,18,臺南市,永康區,,,,,,,,,,,,永二街與永二街393巷,,,,,,120.24785,23.01953
2016,8,3,13,18,臺南市,永康區,埔園里,,中山路,,,,,,聖龍街,,,,,,,,,120.25627,23.0297
2016,8,3,22,40,臺南市,永康區,崑山里,,,,,,,,,,,大灣路與大仁街口,,,,,,120.25701,22.99983
2016,8,3,17,10,臺南市,善化區,南關里,,木柵港西路,,,,,,樹谷大道,,,,,,,,,120.25888,23.1066
2016,8,3,17,0,臺南市,永康區,,,永大一路,,,,,,永春街,,,,,,,,,120.26074,23.01784
2016,8,3,22,30,臺南市,永康區,大灣里,,大灣路,,,,,,大同街,,,,,,,,,120.26911,23.00923
2016,8,3,9,45,臺南市,永康區,大灣里,,民族路,,,,,,文賢街,,,,,,,,,120.27074,23.0041
2016,8,3,18,27,臺南市,新營區,新南里,,復興路,,,,,,,,,與金華路口,,,,,,120.27721,23.29438
2016,8,3,14,29,臺南市,歸仁區,南保里,,中山路,三,,,201,,,,,,,,,,,120.28258,22.96798
2016,8,3,17,50,臺南市,善化區,文正里,,興農路,,,,,,,,,與陽明路口,,,,,,120.28405,23.13296
2016,8,3,16,5,臺南市,永康區,,,,,,,,,,,,高鐵橋下機車道與西埔一街821巷,,,,,,120.28798,23.01296
2016,8,3,7,43,臺南市,歸仁區,辜厝里,,民族南街,,,,,,中正六街,,,,,,,,,120.29206,22.96593
2016,8,3,7,30,臺南市,新市區,三舍里,,,,,,2016-01-21T00:00:00,,,,,,臺19甲線,29,300,南,外側,120.29512,23.08877
2016,8,3,9,34,臺南市,歸仁區,崙頂里,,,,,,,,,,,崙頂一街與成功八街口,,,,,,120.29893,22.95975
2016,8,3,8,26,臺南市,新營區,埤寮里,,中正路,,,,,,,,,與長榮路口,,,,,,120.31627,23.31985
2016,8,3,7,36,臺南市,關廟區,,,中山路,二,,,251,,,,,,,,,,,120.3169,22.96183
2016,8,3,12,40,臺南市,新市區,潭頂里,,,,,,,,,,,南177線與南138線,,,,,,120.32134,23.07686
2016,8,3,9,14,臺南市,新營區,大宏里,,開元路,,59,,,,綠川路,,,,,,,,,120.32351,23.3103
2016,8,3,19,20,臺南市,柳營區,太康里,,中山東路,二,,,863,,,,,,,,,,,120.32821,23.27926
2016,8,3,23,30,臺南市,六甲區,甲東里,,忠孝街,,,,163,,,,,,,,,,,120.3551,23.23023
2016,8,3,11,7,臺南市,東山區,東正里,,,,,,,,,,,青葉路與育德街路口,,,,,,120.40517,23.32325
2016,8,3,5,45,臺南市,東區,,,中華東路,一,,,153,,,,,,,,,,,120.48561,22.54986
2016,8,4,12,48,臺南市,仁德區,,,,,,,,,,,,中正路二段52號前,,,,,,120.9881,22.77828
2016,8,4,13,45,臺南市,仁德區,,,文山路,,,,,,,,,與文德路,,,,,,120.2614,22.95624
2016,8,4,9,32,臺南市,仁德區,,,義林路,,,,,,,,,義林路,,,,,,120.2614,22.95624
2016,8,4,17,10,臺南市,佳里區,建南里,,,,,,,,,,,新生路309號前東向機車優先道,,,,,,120.17221,23.15946
2016,8,4,11,0,臺南市,安平區,,,永華七街,,,,,,建平七街,,,,,,,,,120.1727,22.98963
2016,8,4,7,35,臺南市,中西區,,,湖美二街,,32,,,,,,,,,,,,,120.18186,23.00048
2016,8,4,8,10,臺南市,南區,,,灣裡路,,211,,4,,,,,,,,,,,120.18218,22.92815
2016,8,4,16,20,臺南市,南區,,,中華南路,二,400,3,,,,,,,,,,,,120.18257,22.96234
2016,8,4,21,30,臺南市,北區,,,中華北路,一,,,,,大興街,,,,,,,,,120.1853,23.00998
2016,8,4,7,45,臺南市,中西區,,,文賢路,,,,,,文和街,,,,,,,,,120.18667,23.00194
2016,8,4,16,23,臺南市,南區,,,中華南路,二,,,219,,,,,(新財源輪胎館前),,,,,,120.18764,22.96104
2016,8,4,13,56,臺南市,中西區,,,中山路,,,,,,民權路,二,,,,,,,,120.19398,22.99431
2016,8,4,8,45,臺南市,安南區,,,安通路,五,,,,,,,,電線桿安西高幹35-1號前,,,,,,120.20302,23.0295
2016,8,4,8,0,臺南市,中西區,,,南門路,,,,233,,,,,,,,,,,120.20394,22.98379
2016,8,4,10,45,臺南市,北區,,,文成二街,,,,,,育德一街,,,,,,,,,120.20523,23.01506
2016,8,4,15,48,臺南市,中西區,,,民族路,二,,,,,公園路,,,,,,,,,120.20573,22.99572
2016,8,4,14,36,臺南市,中西區,,,公園路,,,,,,成功路,,,,,,,,,120.20695,22.99806
2016,8,4,15,25,臺南市,中西區,,,民權路,一,,,41,,,,,,,,,,,120.20818,22.98952
2016,8,4,22,20,臺南市,北區,,,中華北路,二,,,297,,,,,,,,,,,120.20886,23.02229
2016,8,4,20,0,臺南市,東區,,,北門路,一,,,266,,,,,,,,,,,120.21182,22.99509
2016,8,4,17,23,臺南市,中西區,,,北門路,一,,,147,,,,,,,,,,,120.21183,22.99559
2016,8,4,11,0,臺南市,東區,,,北門路,,,,,,,,,前站,,,,,,120.2122,22.99722
2016,8,4,14,52,臺南市,永康區,尚頂里,,中華路,,,,,,,,,清潔隊西側,,,,,,120.21624,23.02341
2016,8,4,11,30,臺南市,北區,,,開元路,,485,,,,,,,,,,,,,120.22475,23.01027
2016,8,4,18,20,臺南市,東區,,,崇明十四街,,,,,,崇道路,,,19巷口,,,,,,120.22514,22.97317
2016,8,4,1,10,臺南市,永康區,鹽洲里,,國聖街,,,,232,,,,,,,,,,,120.22646,23.0342
2016,8,4,10,10,臺南市,永康區,大橋里,,中華路,,,,770,,,,,,,,,,,120.22804,23.01734
2016,8,4,11,30,臺南市,永康區,,,新興街,,34,,,,,,,柴頭港溪便道,,,,,,120.22951,23.0097
2016,8,4,15,32,臺南市,北區,,,小東路,,307,129,,,東豐路,,,,,,,,,120.22964,23.00123
2016,8,4,12,30,臺南市,永康區,,,中華路,,619,,,,,,,,,,,,,120.22976,23.01238
2016,8,4,9,50,臺南市,永康區,安康里,,六合路,,,,,,,,,新興街35巷口,,,,,,120.23033,23.01248
2016,8,4,10,52,臺南市,麻豆區,小埤里,,,,,,,,,,,高速高幹4號前,,,,,,120.23166,23.18034
2016,8,4,7,42,臺南市,安定區,港南里,,國8側車道,,,,,,,,,4.6k(東向)與未命名道路路口,,,,,,120.23406,23.08119
