年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,,CR91,10506CR003413,2016,6,23,7,16,臺南市,南區,,,永成路,二,,,716,,,,,,,,,,,,,,,0,1,0,8,1,5,50,14,12,1,5,4,5,7,4,4,1,4,4,1,13,9,C000,CR00,1,2,120.1955,22.95867
10506,10506C00020581,CZ91,10506CZ002818,2016,6,10,23,33,臺南市,仁德區,,,大同路,三,,,420,,,,,,,,,,,,,,,0,1,0,6,3,5,60,14,12,1,4,4,5,7,4,4,1,3,4,1,14,12,C000,CZ00,1,2,120.21705,22.95918
10506,,CZ91,10506CZ002331,2016,6,25,0,54,臺南市,仁德區,成功里,,保生路,,,,,,保華路,,,,,,,,,,,,,0,1,0,8,1,5,50,5,1,1,5,4,5,7,3,1,10,5,5,2,17,23,C000,CZ00,1,2,120.22746,22.95933
10506,,CR91,10506CR003468,2016,6,7,20,50,臺南市,南區,,,德興路,,,,253,,,,,,,,,,,,,,,0,1,0,7,3,5,50,14,13,1,5,4,5,7,4,4,7,5,5,1,11,22,C000,CR00,1,2,120.19266,22.95954
10506,,CZ91,10506CZ002487,2016,6,27,9,29,臺南市,關廟區,,,中山路,二,165,,,,中山路,二,,,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,16,9,C000,CZ00,1,2,120.32495,22.96037
10506,10506C00020402,CZ91,10506CZ001224,2016,6,15,7,22,臺南市,關廟區,,,巡府路,,,,,,武聖路,,,,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,4,1,16,21,C000,CZ00,1,2,120.32636,22.96089
10506,10506C00020054,CR91,10506CR000799,2016,6,8,11,0,臺南市,南區,,,德興路,,,,200,,,,,,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,16,42,C000,CR00,1,2,120.19036,22.96097
10506,,CM91,10506CM002909,2016,6,22,7,40,臺南市,東區,,,德東街,,,,,,,,,瑞東街,,,,,,,,,,0,2,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CM00,1,2,120.23585,22.9618
10506,,CM91,10506CM002699,2016,6,16,17,40,臺南市,東區,,,德東街,,151,,,,德東街,,,,,,,,,,,,,0,1,0,8,1,5,40,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,C000,CM00,1,2,120.23152,22.96182
10506,,CM91,10506CM003285,2016,6,10,22,40,臺南市,東區,,,崇善路,,,,,,德東街,,,,,,,,,,,,,0,1,0,6,3,5,50,4,1,1,4,4,5,7,1,1,5,4,4,1,16,6,C000,CM00,1,2,120.23633,22.96192
10506,10506C00020251,CZ91,10506CZ000616,2016,6,3,16,50,臺南市,仁德區,仁德里,,文華一街,,,,76,,,,,,,,,,,,,,,0,3,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,1,16,9,C000,CZ00,1,2,120.24319,22.96211
10506,,CR91,10506CR000590,2016,6,8,21,16,臺南市,南區,,,中華南路,二,302,1,,,中華南路,二,,302巷口,,,,,,,,,,0,2,0,8,3,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CR00,1,2,120.18715,22.96213
10506,10506C00020269,CZW1,10506CZ000497,2016,6,7,13,48,臺南市,仁德區,,,,,,,,,,,,文華路三段文華一街,,,,,,,,,,0,2,0,8,1,5,40,14,9,1,5,4,5,7,1,1,8,3,5,1,16,25,C000,CZ00,1,2,120.2412,22.96242
10506,,CZ91,10506CZ002332,2016,6,25,23,8,臺南市,歸仁區,辜厝里,,中正南路,一,,,270,,,,,,,,,,,,,,,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,27,23,C000,CZ00,1,2,120.29122,22.9627
10506,,CM91,10506CM003065,2016,6,7,21,45,臺南市,東區,,,大同路,二,,,923,,,,,,,,,,,,,,,0,1,0,6,3,5,60,14,12,1,4,4,5,7,4,4,1,4,4,1,17,23,C000,CM00,1,2,120.21687,22.96272
10506,10506C00020376,CZ91,10506CZ001738,2016,6,8,12,14,臺南市,關廟區,香洋里,,中正路,,,,,,忠孝街,,,,,,,,,,,,,0,2,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,4,5,1,11,4,C000,CZ00,1,2,120.32733,22.96286
10506,,CM91,10506CM002942,2016,6,24,16,17,臺南市,東區,,,崇善路,,1089,,,,,,,,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,16,6,C000,CM00,1,2,120.23472,22.96408
10506,,CR91,10506CR003624,2016,6,30,17,20,臺南市,南區,,,金華路,一,116,,,,金華路,,,,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CR00,1,2,120.18964,22.9641
10506,,CZ91,10506CZ000006,2016,6,1,10,28,臺南市,歸仁區,,,大成路,,,,,,中正南路,一,,,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,5,4,4,1,16,43,C000,CZ00,1,2,120.29319,22.96422
